date,RIDGE,BOOST,OLS,ENSEMBLE,EW,BTC,MV_OPT,RISK_PARITY_ML,RISK_PARITY_EW,VOL_TARGET_EW,VOL_TARGET_ML
2024-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-20,-0.24101712254630103,0.0,-0.24101712254631197,-0.40431470045108103,0.0,0.0,0.0,0.0,0.0,0.0,-0.19068438311909144
2024-07-21,-0.6508791499645998,0.0,-1.1869268492592047,-0.7996688731188134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,-0.33393632644209864,-1.565202762855741,-1.0400440013928496,-0.44059374453085076,-3.947314527840065,-0.8893807047460132,-4.547731539478777,-5.312690383058115,-5.989076373452095,-3.37004544114108,-2.1129824141923663
2024-07-23,-1.6563945665192217,0.0,-2.35313297495436,0.0,-5.287880118659409,-3.2555747604031198,-0.6118964325768534,-4.107333947551557,-7.873423840266308,-4.506849395233622,0.0
2024-07-24,-3.0621562681342467,-2.88711725685799,-3.7342407287598642,-1.8087559287701942,-7.462046126333825,-4.078318559910572,-4.763666420995141,-7.688523486534961,-11.45268272795459,-6.361943618339297,-2.317158545834834
2024-07-25,-3.4163694303434493,-2.9793148688211684,-4.08599807853396,-2.34845890182539,-9.310531649702915,-3.4728959725284363,-6.949070306124872,-9.120421418234093,-13.039021016291413,-7.8768369831877045,-2.5311158973165444
2024-07-26,0.0,-1.0372605384625087,-0.42373793127237186,0.0,-5.058488897556923,-0.3625839543468055,0.0,-3.2658205850581647,-6.941420479239041,-4.342051081341181,-0.9839459620511455
2024-07-27,-1.360904936044717,-2.722721575420933,-1.7788761968945097,-1.4244116861289058,-5.469941928711573,-0.3845983046477354,-1.9777804707478541,-5.206587992516392,-8.78345368346274,-4.704571119800266,-1.6515457459714462
2024-07-28,-2.7339571418170907,-3.5432133821880396,-3.1461102596548476,-2.8101364172531165,-6.8269109826117464,0.0,-3.6296069865026515,-8.061578110784605,-11.120946205084401,-5.84296872530836,-2.963872191759933
2024-07-29,-2.6817589039965726,-3.6661788077721726,-3.0941332055674327,-2.329908464620555,-6.651812400940238,-2.1455687878381164,-3.8142281702871177,-8.06086297122718,-10.998122617327736,-5.765942346391532,-3.0737830265097723
2024-07-30,-3.3131053721623616,-4.010781170653584,-3.722804419269861,-3.0069822787116145,-8.311822304536195,-3.0316424013242838,-8.14035060718139,-9.827129935661558,-12.253378058348765,-7.107982732689424,-4.072121876216309
