,RIDGE,BOOST,OLS,ENSEMBLE,EW,BTC,MV_OPT,RISK_PARITY_ML,RISK_PARITY_EW,VOL_TARGET_EW,VOL_TARGET_ML
2024-07-18,0.0024785946786331035,-0.0010657189429023866,0.0024785946786331035,0.0026726366550868614,-0.009396862493247388,-0.0017500562359714,-0.00668993409454199,-0.006960499228295673,-0.006986367877674928,-0.006909603776382472,-0.0042564410188406605
2024-07-19,0.007530820439781136,0.04099247793660871,0.00523555478545349,0.0054653099159151855,0.039118009144321786,0.0421455434430191,0.04720233429158063,0.0662022004903625,0.08407886009996729,0.03077709635906098,0.010474008856921046
2024-07-20,-0.0024101712254630293,0.015153120402581263,-0.0024101712254630293,-0.0040431470045108435,0.010875607019065335,0.0070110108173924,0.019469458741860582,0.020313993467129456,0.03071197037086047,0.008939753257297322,-0.0019068438311909647
2024-07-21,-0.004108522516932393,0.026923917945527003,-0.009481950391122845,-0.003969591368126534,0.016913426973021353,0.0150441055908516,0.0127098253653633,0.028413733926227445,0.0309476892120701,0.012902464970988459,0.008886330447398234
2024-07-22,0.0031901925332677612,-0.015652027628557302,0.0014864718117033465,0.0036196968750910885,-0.03947314527840074,-0.0088938070474601,-0.045477315394787735,-0.05312690383058112,-0.05989076373452101,-0.03370045441141087,-0.021129824141923638
2024-07-23,-0.013268892051447472,0.025778912418477972,-0.013268892051447472,0.006379579939733976,-0.013956565443533582,-0.0238742737406185,0.04123354185688928,0.012729862537892664,-0.020043920367165492,-0.011764508834577737,0.04753856461858431
2024-07-24,-0.01429438849042271,-0.028871172568579972,-0.014143902368636824,-0.018087559287701914,-0.022955520480359877,-0.0085043019013225,-0.04177330927339608,-0.03734581262997402,-0.038851534886983896,-0.01942646369249735,-0.02317158545834829
2024-07-25,-0.0036540235327388853,-0.000949386006870296,-0.0036540235327388853,-0.005496447042301388,-0.019975431117621914,0.0063116344323079,-0.022947165257226045,-0.0155115916869801,-0.017915147936815368,-0.016178180361559748,-0.002190326860855204
2024-07-26,0.038182747814654146,0.020016910081936394,0.038182747814654146,0.04106800060065656,0.046885739099517626,0.0322221623607026,0.07744727063882934,0.06442152268464188,0.07011881200411409,0.03837021858662654,0.01587347541227079
2024-07-27,-0.013609049360447163,-0.017031269002142843,-0.013609049360447163,-0.014244116861288975,-0.004333752711294831,-0.0002209446127229,-0.01977780470747864,-0.02006289213591502,-0.0197943404435134,-0.003789753413669293,-0.006742338809668415
2024-07-28,-0.013919959473291155,-0.008434567866773159,-0.013919959473291155,-0.014057483752589608,-0.014354894957081678,0.0052610796544021,-0.016851551859237944,-0.03011802252716502,-0.025625751204284397,-0.011945983337136023,-0.013343640789704856
2024-07-29,0.0005366542761138116,-0.0012748239900564253,0.0005366542761138116,0.004941132078281995,0.0018792827791598353,-0.0214556878783811,-0.0019157458843050076,7.77846239609966e-06,0.0013819182643424483,0.0008180629515826733,-0.0011326795208382741
2024-07-30,-0.006487442241614015,-0.0035771690421558464,-0.006487442241614015,-0.006932253297272685,-0.017782990182154144,-0.0090550177698651,-0.04497673985039317,-0.019211263249965166,-0.014103696213327483,-0.014241564246666026,-0.010299987772963273
2024-07-31,-0.012849386260873164,-0.01629327936060002,-0.012849386260873164,-0.014483317444753702,-0.025389011574253304,-0.0234477845431595,-0.01439948339945685,-0.03938753224176228,-0.04229369514704865,-0.021070582161794908,-0.011126617749496722
2024-08-01,-0.002047684913051685,0.0060388820142907255,-0.004851159432857539,-0.0026419825709005063,-0.002931117701280048,0.010796415593556,0.019825513492125746,0.005656439272819974,-0.017123837432746827,-0.002838518086878987,0.022435487427072718
2024-08-02,-0.01584404577727848,-0.04413090110945307,-0.01584404577727848,-0.01584404577727848,-0.07524766050409656,-0.0593517328958094,-0.0518028842499296,-0.1004402251968789,-0.11006518483539805,-0.061731008999816414,-0.040856227271258455
2024-08-03,-0.027380793197866526,-0.028638975108552213,-0.027380793197866526,-0.023761694428455892,-0.0447972095085089,-0.0126495868661682,-0.04203560531483729,-0.06293776336145562,-0.07135664335842162,-0.035343700968503235,-0.014567492838683362
2024-08-04,-0.02499324054173032,-0.010523721405469852,-0.02499324054173032,-0.02499324054173032,-0.05147657765666698,-0.0414680967353129,-0.0545996104483943,-0.05290889629873015,-0.058658044879804735,-0.03989907424327772,-0.014732814630564011
2024-08-05,-0.016185922554627988,-0.0034787625359577884,-0.016185922554627988,-0.015471228773405982,-0.07449534038970064,-0.071300236128196,-0.07573113594362252,-0.08612201204654896,-0.0897882557047764,-0.05626634628126234,-0.03229873607525485
2024-08-06,0.04095451618309396,0.006097707223425661,0.04095451618309396,0.02654855611193787,0.06361984397239413,0.0383436407318389,0.08202645406871292,0.09550188393341486,0.09868432623475903,0.047530231683495225,0.05113721862177137
2024-08-07,-0.030077346049646174,0.004421754654508073,-0.030077346049646174,-0.026827507905846266,-0.03106983791959599,-0.016880046204535,-0.05834564394912065,-0.038744957946218565,-0.02961467568797224,-0.022540687242168813,-0.04273957805702752
2024-08-08,0.06797006750338537,0.05611308676468073,0.06797006750338537,0.06797006750338537,0.12804404706956898,0.119369844717051,0.12055368938148696,0.1607550215819895,0.18855100335461494,0.09171199926071849,0.049262381404034404
2024-08-09,-0.009323429150548176,-0.006607190521582786,-0.009323429150548176,-0.009323429150548176,-0.014049092828684993,-0.0135882540654603,-0.01847082843177001,-0.025899026035768033,-0.030311193906019718,-0.009364751992389522,-0.007928046863451735
2024-08-10,0.005982167821589013,-0.007258089133325953,0.006056275655338097,0.004777251298700407,0.010087553922896826,0.0008928855583172,-0.001399965087515824,0.010743646991015687,0.011285279794264611,0.006951976484224099,0.004583488157571541
2024-08-11,-0.025736497411725484,-0.01645507852893858,-0.025736497411725484,-0.025736497411725484,-0.05498775241923777,-0.035856659123979,-0.027714351423466514,-0.06283710626886448,-0.08219810305890632,-0.03607513660146921,-0.009328522158700078
2024-08-12,0.015312627502645712,0.008038334366107396,0.015312627502645712,0.01378799439212107,0.04578902303300489,0.0106075132075262,0.05628528313083929,0.055473031545826015,0.06166522514047911,0.030015833310653613,0.022930771473774234
2024-08-13,0.008723273201568068,0.0009747427743272141,0.008723273201568068,0.008723273201568068,0.011610946152348294,0.0208663220057312,0.009759859023243111,0.016255106323910085,0.01710676967611486,0.007650691849679255,0.009320976318824854
2024-08-15,-0.009193676852033945,-0.00810585813622959,-0.009193676852033945,-0.00848668544923414,-0.02915477399962611,-0.0196735788893751,-0.01620449291499798,-0.038790365652468635,-0.04281216099503271,-0.019574348020335846,-0.017043354081699033
2024-08-16,-0.0005687023505255883,-0.0182187019588206,-0.0008597901550664883,-0.0008597901550664883,-0.0009123957564314523,0.0233554640482289,0.0053516715066080755,-0.017618335559316297,-0.024325827301620542,-0.0005933259478609378,-0.0013036431958169106
2024-08-17,0.005359058470125274,-0.002838049516558406,0.008187582181890807,0.007734703607685195,0.01546141642115039,0.0098530475240796,0.03512927379704105,0.01861657396899658,0.017896831636319003,0.010113772597650634,0.012677310899243718
2024-08-18,0.006719257008771242,-0.007439549578771663,0.004208727636193784,0.001748748531708329,-0.0050401353342352335,-0.0172915642516024,0.003894385839530239,-0.0046663394669010545,-0.00900547047892715,-0.0032051570440968956,0.0038190201119690805
2024-08-19,-0.009650307308689054,-0.0019796711927544813,-0.009137991451566112,-0.008762701400543436,0.01742187380231853,0.0174056951579613,0.008345634747032649,0.015828767758801113,0.018384395587493697,0.0115903373627707,0.0066420285769755345
2024-08-20,-0.028336861884517277,0.018301601277185033,-0.024573640584758517,-0.027932400244536512,0.013050877846839764,-0.0074134438701589,-0.002230572153810651,0.005148131696890305,0.0028319542493712583,0.00877541923516019,0.007259989569478041
2024-08-21,0.01746232814409153,-0.021707495210677698,0.016502183709188847,0.01686825103280587,0.030034806746544622,0.0360410895279064,0.05327889762956607,0.030601304561886856,0.022659817590750312,0.020243752123412943,0.03552464232730534
2024-08-22,0.018030115708162157,0.014668741426071809,0.019230657423681078,0.019230657423681078,0.02004608103201775,-0.0128177884587736,0.02203068192317304,0.028525422575444298,0.03094588712661603,0.013794818646284915,0.015339844455803367
2024-08-23,-0.014795480330966962,0.046085942688861195,-0.014386582734214996,-0.0210005400163771,0.07801630177570441,0.0612539538475949,0.07871114603801502,0.11849282582293177,0.13431581314167845,0.05292112636018159,0.05079026447035155
2024-08-24,-0.001169170567925891,0.00018270374888344765,0.0042285494097323816,0.0027443564714464443,0.015032462806141804,0.0013319909768352,0.009007142700207417,0.023579520596254865,0.027463084826142535,0.010099496680540268,0.009280033483225673
2024-08-25,0.0005330460794458029,-0.0033047920774512927,-0.0018533131298821386,-0.0028030205932384512,-0.02053433921056928,0.0015278315082845,-0.036077761053143274,-0.02759309090056493,-0.029077882005899315,-0.013592111379492403,-0.015572852619821807
2024-08-26,0.009153256869766986,-0.022307716228675056,0.007712065297489516,0.010033809977339464,-0.044217338679196166,-0.0219986814130231,-0.020580535423771168,-0.057202376185084676,-0.06711475852633109,-0.028679118764338492,-0.022795893003637897
2024-08-27,-0.012772565754020263,0.0018732194381415046,-0.017641973614150055,-0.015158455972914979,-0.0517232357528558,-0.053949532644858,-0.07085217010652253,-0.06652045318847305,-0.0704747927171081,-0.03366023894761008,-0.033757526723509554
2024-08-28,-0.0074241895720956845,-0.009270306048125426,-0.0081874934121416,-0.01650071560205658,-0.003427101225386987,-0.0069995259718668,0.0028048691206480243,-0.00026326941030234766,-0.004224158677400273,-0.002150213739624713,0.00491344742572184
2024-08-29,-0.015775538908311026,-0.014187774317780616,-0.01570265479566004,-0.01725575777116853,-0.002961715143806797,0.0057808671004302,-0.008922345303412293,-0.008704332592260808,-0.008530962763320054,-0.0017129663765984926,-0.00519249652515345
2024-08-30,-0.008133390487732385,-0.011454556539559329,-0.00914376368919359,-0.005362747806786906,-0.0005986891834879707,-0.0040600667342733,-0.025338356004286553,-0.010652184769613745,-0.013709358308154063,-0.0004032959107244274,-0.0020519073058278283
2024-08-31,0.00048236388604181064,0.007676846196710902,-0.00015291613570605003,-0.0026443410089022415,-0.016197230188602665,-0.0023409311230304,0.004832183019125026,-0.019611002297458352,-0.02127858608465017,-0.010611405477367858,-0.00871864394219769
2024-09-01,-0.0075948466199867795,-0.00585294880468748,-0.009085295155862316,-0.00817105240997535,-0.04105508882491346,-0.0280704707711811,-0.05127539282546183,-0.05141721487519318,-0.052392100998948005,-0.02671814032254234,-0.026854653323288694
2024-09-02,0.007715497813662042,-0.008720689860456085,0.007838950421500571,0.016019678993062236,0.04133514942160695,0.0315895331973954,0.005350486498197646,0.04868880143617248,0.055282799333430166,0.026769741353520223,0.019478381670088356
2024-09-03,-0.02921103826591698,-0.007090774940739217,-0.03146060069461559,-0.03033740263490187,-0.04575902023181607,-0.0280821569592535,-0.047136927575216744,-0.06021894515521115,-0.06291495381864352,-0.02928988583221649,-0.029317860383511644
2024-09-04,0.02130899009933744,-0.008343105750227845,0.021985768083503186,0.021985768083503186,0.02229101017004094,0.0085646266236414,0.026364498056907482,0.03259137128751169,0.03429464123655663,0.014409442846646813,0.015777473481590917
2024-09-05,-0.010662720954702824,0.016665720641447557,-0.010123982750404392,-0.010942618576100838,-0.0274442027646805,-0.0309830002808647,-0.03702307316464113,-0.03763562345409443,-0.04116430954612549,-0.018258521682390984,-0.016945560496121927
2024-09-06,-0.015555154024988044,-0.0011974295117367535,-0.014062460431814725,-0.013840033301705804,-0.0313569072943408,-0.0393562329826923,-0.04811615666166097,-0.03254413235610908,-0.029107133298713273,-0.020872557410011816,-0.024533840301150037
2024-09-07,9.11316629226798e-06,-0.005263109308564088,0.0004672865995625185,0.0007197195297971928,0.015203652279399281,0.0037337790838753,0.0030413119400712783,0.019702674383346875,0.021867904672739462,0.01011203671783574,0.008517818850404094
2024-09-08,0.008254233851096807,0.0031060091142646566,0.0072068570884171075,0.007098815140897812,0.026364590083668607,0.0131576119874192,0.029114904385059325,0.03760126142860506,0.04019831598111244,0.018126625280472514,0.018285753485698247
2024-09-09,0.011276583909453408,0.020151830259539587,0.009100778718173587,0.009728206837532019,0.040621305286610884,0.039305041550784,0.053943471665939144,0.06222134281509052,0.06907793109354654,0.02844098342168825,0.027155728609324196
2024-09-10,0.027280041646280014,-0.014177621132378207,0.026195439090194873,0.0286091189871196,0.010702002191655307,0.0101281804718735,0.010945844559855979,0.019289313077965692,0.019620099594429365,0.007422527513598967,0.010479396701569322
2024-09-11,-0.03374239975785567,-0.01906421436095583,-0.03769956886094921,-0.0315340383850048,-0.014399804340076068,-0.0050190565236227,-0.03836429140076486,-0.02718463358528687,-0.027014966535458183,-0.009971718661157371,-0.016326005061120467
2024-09-12,6.121019813556255e-05,0.017873462077582166,0.0005950872469753475,0.0007522130550429093,0.02808170747114684,0.0137812705495035,0.016988743508889122,0.05195221408887984,0.06027330026213795,0.01961760545031927,0.019221176211064308
2024-09-14,-0.0035082990535180987,0.006423828034069501,-0.015623686409571274,-0.013004994277494365,-0.007178710493553166,-0.0086469454204051,-0.007947816864622374,-0.0007693924524328159,0.001148555570445249,-0.004951596992478172,-0.0029894983443371176
2024-09-15,-0.014188858849004688,0.0037463934231898657,-0.013166656761579573,-0.012497220040059421,-0.028310962179395643,-0.0139655229891716,-0.012831964977842648,-0.03170394404541925,-0.03378243897221621,-0.019566666464486765,-0.015346256715287339
2024-09-16,-0.01817558696896648,-0.007227469282133371,-0.017472314229123938,-0.01817558696896648,-0.01982971336876014,-0.0159613914575103,-0.022879813200088004,-0.0203466947617282,-0.017702881429417366,-0.013821154526246056,-0.015224259637485731
2024-09-17,0.014702798480750227,0.01277515102035737,0.014702798480750227,0.014702798480750227,0.02725692557781611,0.0360484805140826,0.052129520071742874,0.05278478456067451,0.05849519994938726,0.018935524963197666,0.021855960435093955
