date,RIDGE,BOOST,OLS,ENSEMBLE,EW,BTC,MV_OPT,RISK_PARITY_ML,RISK_PARITY_EW,VOL_TARGET_EW,VOL_TARGET_ML
2024-07-18,0.0024755280291182393,-0.0010662872251236764,0.0024755280291182393,0.0026690715125494884,-0.009441291553838618,-0.0017515893733647619,-0.006712412010242453,-0.006984836501848551,-0.007010886811331485,-0.006933585622435976,-0.004265525451312587
2024-07-19,0.009978133407150752,0.03910827657623077,0.007697424947881359,0.008119500815711644,0.02893099365576072,0.03953002121254089,0.039409752679875745,0.05711815276519996,0.07371976272974204,0.023379394639882558,0.00615401100760885
2024-07-20,0.0075650530437325735,0.054147735231615965,0.00528434458446318,0.004068158194168732,0.039747886578179854,0.04651656916663762,0.05869210616873494,0.07722856942185427,0.10396955954930237,0.03227942487020328,0.004245346835280644
2024-07-21,0.0034480673594677602,0.08071558158917472,-0.004242845700337714,9.066708546889499e-05,0.056519874134287475,0.06144863450039027,0.07132183962585427,0.10524612039633133,0.13444802538427575,0.045099362155690846,0.0130924262088919
2024-07-22,0.006633182025252999,0.06493976760556072,-0.002757477594241711,0.003703828623703814,0.016246536076211272,0.052515041476160096,0.02477796948333396,0.05065591946374856,0.07268882370753237,0.010817957919562006,-0.008263827965518186
2024-07-23,-0.006724528329611191,0.09039200616167238,-0.0161151879491059,0.010063145178926803,0.002191662000787409,0.02835115849951437,0.06518407771748871,0.06330543842487449,0.05244129868452526,-0.0010163003338786152,0.03817936003594728
2024-07-24,-0.021122065738250484,0.06109586167692173,-0.030360068586840733,-0.008189993668207496,-0.021031439342692294,0.01981048868685483,0.022513177864894006,0.025244407445037538,0.012814906972360443,-0.020633937708096378,0.01473509284332164
2024-07-25,-0.024782781522381506,0.06014602471771522,-0.03402078437097175,-0.013701601755662042,-0.041209076686325244,0.02610228817143471,-0.0007013719872419714,0.009611252285887713,-0.005262659991896394,-0.03694441363771968,0.012542363708102692
2024-07-26,0.0126890453498982,0.07996523038817517,0.003451042501307955,0.026545508126711186,0.004610717536668904,0.05781620566810006,0.07389323304897412,0.07204273268823669,0.06250702157369789,0.0007079728210623304,0.028291173035093504
2024-07-27,-0.001013455952782948,0.06278726127906102,-0.010251458801373193,0.0121989700698534,0.00026754689926794615,0.057595236643520335,0.05391722992244553,0.051775847662479266,0.042514148929635905,-0.003088979902904984,0.02152600197271923
2024-07-28,-0.015031206622183641,0.05431692115368634,-0.024269209470773885,-0.0019582559610729546,-0.014191376305586954,0.06284252516803182,0.03692207508840337,0.02119496006662873,0.016554338799104753,-0.01510688989598149,0.00809253483968843
2024-07-29,-0.014494696293478162,0.05304128388426161,-0.023732699142068405,0.002970708787895469,-0.01231385716906601,0.04115331776223516,0.03500449181593087,0.021202738498772838,0.017935303093174003,-0.014289161375517225,0.006959213352594542
2024-07-30,-0.02100327344577474,0.04945770147389154,-0.030241276294364985,-0.003985684203603033,-0.03025686461635116,0.03205705414223131,-0.011015090804484054,0.0018045408949145733,0.003731204609715705,-0.028633109935967554,-0.0033941863726112713
2024-07-31,-0.0339359271295313,0.03303022698814531,-0.04317392997812154,-0.018574908724830617,-0.055973738446828195,0.008329996097264605,-0.02551925285922478,-0.03837966980452257,-0.03948291453880406,-0.049928845168257546,-0.014583167963960243
2024-08-01,-0.035985711415727324,0.03905094803240543,-0.04803689447922037,-0.021220387490965883,-0.05890916028627896,0.0190685465144068,-0.0058877054001642455,-0.03273916811259796,-0.05675506038686179,-0.05277139948735616,0.007604345999555669
2024-08-02,-0.051956615840092854,-0.006083353120238118,-0.06400779890358589,-0.03719129191533141,-0.13713847869054407,-0.04211744904458384,-0.059080575734908006,-0.1385889425456251,-0.17336212071318247,-0.11648999978504357,-0.03410994991076349
2024-08-03,-0.07971924915309048,-0.03514042561101561,-0.09177043221658351,-0.06123984874331645,-0.18297009366979666,-0.054847723096557374,-0.10202524373628116,-0.2035945203227224,-0.2473926348682297,-0.15247340767739545,-0.048784590529392324
2024-08-04,-0.10503012438369949,-0.045719912961156295,-0.11708130744719253,-0.08655072397392546,-0.23581888949284688,-0.09720015557238433,-0.1581719923098583,-0.2579545083158751,-0.3078414448252678,-0.19319027672694083,-0.06362701094003612
2024-08-05,-0.12134846985166556,-0.04920474046130355,-0.1333996529151586,-0.10214288110218028,-0.3132350017790227,-0.1711699300292897,-0.23692426356032714,-0.34801271714705,-0.40191946532499956,-0.25110157585877313,-0.09645886192396116
2024-08-06,-0.08121037360075894,-0.043125549023466464,-0.09326155666425198,-0.07594062215084388,-0.2515569642023004,-0.13354313963870923,-0.15808863420320238,-0.2568001173932596,-0.3078060684390571,-0.20466634266538272,-0.04658621849259592
2024-08-07,-0.11174932246023794,-0.038713541603380724,-0.12380050552373098,-0.10313455604216547,-0.28311970604743963,-0.15056727764236444,-0.21820563157866824,-0.296315630259774,-0.3378681132445134,-0.2274649544314472,-0.09026601979819715
2024-08-08,-0.045989608997213036,0.01588172768627312,-0.05804079206070607,-0.03737484257914056,-0.16263450491341797,-0.03780138932136923,-0.10438270291085466,-0.14724495619832836,-0.16513319229197534,-0.139717848834171,-0.042178596394145715
2024-08-09,-0.05535677336706741,0.009252613056864312,-0.06740795643056045,-0.046742006948994934,-0.17678322041958158,-0.05148280864253872,-0.12302624720375217,-0.17348526754343319,-0.1959132697097494,-0.14912672581226202,-0.0501382373180516
